name,address,rating,review_count,lat,lon,tit1,zipcodes
Canaan Restaurant and Catering,"11610 South St  Artesia, CA 90701",5.0,8,33.858357299999994,-118.0861223,Chinese,90701
Jack in the Box,"1101 N Magnolia Ave  Anaheim, CA 92801",2.0,37,33.847464,-117.976721,Burgers,92801
McDonald's,"695 S Western Ave  Los Angeles, CA 90005",2.0,186,34.05999,-118.30955,Fast Food,90005
Engine Co No 28,"800 World Way  Terminal 8  Los Angeles, CA 90045",3.0,235,33.94197498,-118.39740559999998,American (Traditional),90045
TJ's Tacos LA,"Los Angeles, CA 90001",5.0,9,33.97408676,-118.24983219999999,Street Vendors,90001
JOEY DTLA,"700 W 7th St  Ste S430  Los Angeles, CA 90017",4.5,847,34.048001,-118.25810800000001,American (New),90017
Lao Ma Tou Hot Pot,"18938 Labin Ct  Ste A-102  Rowland Heights, CA 91748",5.0,37,33.992839000000004,-117.8906166,Hot Pot,91748
The Bagelry- La Habra,"1202 W Whittier Blvd  La Habra, CA 90631",4.5,122,33.93862410000001,-117.95947450000001,Breakfast & Brunch,90631
Daikokuya - Monterey Park,"111 N Atlantic Blvd  Ste 241  Monterey Park, CA 91754",3.5,1475,34.06293483,-118.13484979999998,Ramen,91754
Renaissance,"5930 Franklin Ave  The Manor Hotel  Hollywood, CA 90028",4.0,30,34.10461,-118.31898000000001,American (New),90028
Papilles Bistro,"6221 Franklin Ave  Los Angeles, CA 90028",4.5,470,34.1053549,-118.32469850000001,French,90028
Lobsterdamus,"785 Bay St  Los Angeles, CA 90021",3.5,96,34.031327000000005,-118.239352,Seafood,90021
Borani Kitchen,"Los Angeles, CA 90004",5.0,1,34.07558823,-118.2997131,Mediterranean,90004
Albarito's Mexican Food,"3599 Atlantic Ave  Long Beach, CA 90807",3.0,77,33.8219846,-118.1851649,Mexican,90807
Bungalow 40,"6541 Santa Monica Blvd  Los Angeles, CA 90038",4.5,39,34.091023,-118.33224299999999,Coffee & Tea,90038
The Dim Sum Co,"8900 Westminster Blvd  Westminster, CA 92683",4.0,685,33.758804,-117.9740855,Dim Sum,92683
Sizzler,"7902 Orangethorpe Ave  Buena Park, CA 90621",4.0,222,33.8588751,-117.99519769999999,Seafood,90621
Douglas Drive-In,"5208 Atlantic Blvd  Maywood, CA 90270",4.0,45,33.99264145,-118.1833496,Burgers,90270
Guisados,"8935 Santa Monica Blvd  West Hollywood, CA 90069",4.5,847,34.084449799999994,-118.38532260000001,Mexican,90069
Subway,"4216 Katella Ave  Los Alamitos, CA 90720",2.5,36,33.80268,-118.05988,Sandwiches,90720
Shoya Izakaya,"1920 Pacific Coast Hwy  Lomita, CA 90717",4.0,31,33.789131,-118.312708,Japanese,90717
Nersses Vanak,"6524 San Fernando Rd  Glendale, CA 91201",4.0,209,34.1680376,-118.29091329999999,Middle Eastern,91201
Piccalilli,"3850 Main St  Ste A  Culver City, CA 90232",4.5,57,34.02469621,-118.39434009999998,American (New),90232
Toasted Bun,"1013 S Brand Blvd  Glendale, CA 91205",3.5,362,34.13394807,-118.25520520000002,Breakfast & Brunch,91205
Nekter Juice Bar,"403 North Pacific Coast Hwy  Redondo Beach, CA 90277",4.0,135,33.8470547,-118.3891318,Gluten-Free,90277
AMMATOLI Mediterranean Bites,"285 E 3rd St  Long Beach, CA 90802",4.0,392,33.770824,-118.190025,Mediterranean,90802
Takos,"14223 Bellflower Blvd  Bellflower, CA 90706",4.0,186,33.90239705,-118.1258723,Mexican,90706
No 1 Kazoku,"162 W Valley Blvd  San Gabriel, CA 91776",4.0,414,34.07944735,-118.10222409999999,Japanese,91776
Taco Truck,"Indiana Street & Dennison Street  Los Angeles, CA 90023",3.0,1,34.02059975,-118.19228400000001,Mexican,90023
